Abbreviation,Bahrain Grand Prix_2021_GridPosition,Emilia Romagna Grand Prix_2021_GridPosition,Portuguese Grand Prix_2021_GridPosition,Spanish Grand Prix_2021_GridPosition,Monaco Grand Prix_2021_GridPosition,Azerbaijan Grand Prix_2021_GridPosition,French Grand Prix_2021_GridPosition,Styrian Grand Prix_2021_GridPosition,Austrian Grand Prix_2021_GridPosition,British Grand Prix_2021_GridPosition,Hungarian Grand Prix_2021_GridPosition,Belgian Grand Prix_2021_GridPosition,Dutch Grand Prix_2021_GridPosition,Italian Grand Prix_2021_GridPosition,Russian Grand Prix_2021_GridPosition,Turkish Grand Prix_2021_GridPosition,United States Grand Prix_2021_GridPosition,Mexico City Grand Prix_2021_GridPosition,São Paulo Grand Prix_2021_GridPosition,Qatar Grand Prix_2021_GridPosition,Saudi Arabian Grand Prix_2021_GridPosition,Abu Dhabi Grand Prix_2021_GridPosition,Bahrain Grand Prix_2022_GridPosition,Saudi Arabian Grand Prix_2022_GridPosition,Australian Grand Prix_2022_GridPosition,Emilia Romagna Grand Prix_2022_GridPosition,Miami Grand Prix_2022_GridPosition,Spanish Grand Prix_2022_GridPosition,Monaco Grand Prix_2022_GridPosition,Azerbaijan Grand Prix_2022_GridPosition,Canadian Grand Prix_2022_GridPosition,British Grand Prix_2022_GridPosition,Austrian Grand Prix_2022_GridPosition,French Grand Prix_2022_GridPosition,Hungarian Grand Prix_2022_GridPosition,Belgian Grand Prix_2022_GridPosition,Dutch Grand Prix_2022_GridPosition,Italian Grand Prix_2022_GridPosition,Singapore Grand Prix_2022_GridPosition,Japanese Grand Prix_2022_GridPosition,United States Grand Prix_2022_GridPosition,Mexico City Grand Prix_2022_GridPosition,São Paulo Grand Prix_2022_GridPosition,Abu Dhabi Grand Prix_2022_GridPosition,Bahrain Grand Prix_2023_GridPosition,Saudi Arabian Grand Prix_2023_GridPosition,Australian Grand Prix_2023_GridPosition,Azerbaijan Grand Prix_2023_GridPosition,Miami Grand Prix_2023_GridPosition,Monaco Grand Prix_2023_GridPosition,Spanish Grand Prix_2023_GridPosition,Canadian Grand Prix_2023_GridPosition,Austrian Grand Prix_2023_GridPosition,British Grand Prix_2023_GridPosition,Hungarian Grand Prix_2023_GridPosition,Belgian Grand Prix_2023_GridPosition,Dutch Grand Prix_2023_GridPosition,Italian Grand Prix_2023_GridPosition,Singapore Grand Prix_2023_GridPosition,Japanese Grand Prix_2023_GridPosition,Qatar Grand Prix_2023_GridPosition,United States Grand Prix_2023_GridPosition,Mexico City Grand Prix_2023_GridPosition,São Paulo Grand Prix_2023_GridPosition,Las Vegas Grand Prix_2023_GridPosition,Abu Dhabi Grand Prix_2023_GridPosition,Bahrain Grand Prix_2024_GridPosition,Saudi Arabian Grand Prix_2024_GridPosition,Australian Grand Prix_2024_GridPosition,Japanese Grand Prix_2024_GridPosition,Chinese Grand Prix_2024_GridPosition,Miami Grand Prix_2024_GridPosition,Emilia Romagna Grand Prix_2024_GridPosition,Monaco Grand Prix_2024_GridPosition,Canadian Grand Prix_2024_GridPosition,Spanish Grand Prix_2024_GridPosition,Austrian Grand Prix_2024_GridPosition,British Grand Prix_2024_GridPosition,Hungarian Grand Prix_2024_GridPosition,Belgian Grand Prix_2024_GridPosition,Dutch Grand Prix_2024_GridPosition,Italian Grand Prix_2024_GridPosition,Azerbaijan Grand Prix_2024_GridPosition,Singapore Grand Prix_2024_GridPosition,United States Grand Prix_2024_GridPosition,Mexico City Grand Prix_2024_GridPosition,São Paulo Grand Prix_2024_GridPosition,Las Vegas Grand Prix_2024_GridPosition,Qatar Grand Prix_2024_GridPosition,Abu Dhabi Grand Prix_2024_GridPosition,Australian Grand Prix_2025_GridPosition,Chinese Grand Prix_2025_GridPosition,Japanese Grand Prix_2025_GridPosition,Bahrain Grand Prix_2025_GridPosition,Saudi Arabian Grand Prix_2025_GridPosition,Miami Grand Prix_2025_GridPosition,Emilia Romagna Grand Prix_2025_GridPosition,Monaco Grand Prix_2025_GridPosition,Spanish Grand Prix_2025_GridPosition,Canadian Grand Prix_2025_GridPosition,Austrian Grand Prix_2025_GridPosition,British Grand Prix_2025_GridPosition,Belgian Grand Prix_2025_GridPosition,Hungarian Grand Prix_2025_GridPosition,Dutch Grand Prix_2025_GridPosition,Italian Grand Prix_2025_GridPosition,Azerbaijan Grand Prix_2025_GridPosition,Singapore Grand Prix_2025_GridPosition,United States Grand Prix_2025_GridPosition,Mexico City Grand Prix_2025_GridPosition,São Paulo Grand Prix_2025_GridPosition,Las Vegas Grand Prix_2025_GridPosition,Qatar Grand Prix_2025_GridPosition,Abu Dhabi Grand Prix_2025_GridPosition
NOR,7.0,7.0,7.0,9.0,5.0,9.0,8.0,3.0,2.0,5.0,6.0,15.0,13.0,3.0,1.0,7.0,7.0,18.0,5.0,4.0,7.0,3.0,13.0,11.0,4.0,5.0,8.0,11.0,5.0,11.0,14.0,6.0,10.0,5.0,4.0,17.0,7.0,3.0,6.0,10.0,6.0,8.0,6.0,7.0,11.0,19.0,13.0,7.0,16.0,10.0,3.0,7.0,4.0,2.0,3.0,7.0,2.0,9.0,4.0,3.0,10.0,2.0,17.0,6.0,15.0,5.0,7.0,6.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,15.0,1.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,3.0,2.0,6.0,10.0,2.0,4.0,1.0,2.0,7.0,1.0,3.0,1.0,3.0,2.0,2.0,7.0,5.0,2.0,1.0,,,,
BOT,3.0,8.0,1.0,3.0,3.0,10.0,3.0,5.0,5.0,3.0,2.0,13.0,3.0,19.0,16.0,1.0,9.0,1.0,1.0,6.0,2.0,6.0,6.0,8.0,12.0,7.0,5.0,7.0,12.0,15.0,11.0,12.0,0.0,11.0,8.0,13.0,16.0,15.0,15.0,12.0,7.0,6.0,14.0,18.0,12.0,14.0,19.0,13.0,10.0,15.0,16.0,14.0,14.0,20.0,7.0,13.0,18.0,14.0,16.0,16.0,9.0,13.0,9.0,18.0,7.0,18.0,16.0,16.0,13.0,13.0,10.0,16.0,16.0,17.0,19.0,12.0,18.0,16.0,12.0,14.0,16.0,19.0,16.0,19.0,16.0,15.0,11.0,19.0,13.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
PER,0.0,2.0,4.0,8.0,9.0,6.0,4.0,4.0,3.0,0.0,4.0,0.0,0.0,8.0,8.0,6.0,3.0,4.0,4.0,11.0,5.0,4.0,4.0,1.0,3.0,3.0,4.0,5.0,3.0,2.0,13.0,4.0,5.0,3.0,11.0,2.0,5.0,13.0,2.0,4.0,9.0,4.0,4.0,2.0,2.0,1.0,20.0,3.0,1.0,20.0,11.0,12.0,15.0,15.0,9.0,2.0,7.0,5.0,13.0,5.0,20.0,9.0,5.0,9.0,11.0,9.0,5.0,3.0,6.0,2.0,2.0,4.0,11.0,16.0,16.0,11.0,8.0,20.0,16.0,2.0,5.0,8.0,4.0,13.0,9.0,18.0,12.0,15.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
MSC,18.0,18.0,19.0,18.0,20.0,17.0,15.0,19.0,19.0,18.0,20.0,17.0,17.0,18.0,14.0,14.0,16.0,14.0,18.0,19.0,19.0,19.0,12.0,,15.0,10.0,15.0,10.0,15.0,20.0,6.0,19.0,9.0,17.0,15.0,19.0,8.0,17.0,12.0,15.0,16.0,15.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VER,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,20.0,2.0,1.0,3.0,2.0,7.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,10.0,14.0,1.0,7.0,8.0,1.0,2.0,1.0,3.0,1.0,1.0,15.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,11.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,4.0,3.0,11.0,2.0,7.0,6.0,2.0,2.0,2.0,17.0,5.0,2.0,4.0,3.0,4.0,1.0,7.0,1.0,1.0,2.0,4.0,3.0,2.0,7.0,1.0,4.0,8.0,3.0,1.0,1.0,2.0,1.0,5.0,,,,
GIO,12.0,17.0,12.0,14.0,10.0,20.0,13.0,15.0,15.0,15.0,0.0,14.0,7.0,7.0,17.0,16.0,12.0,11.0,13.0,18.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAI,14.0,16.0,15.0,17.0,14.0,14.0,17.0,18.0,16.0,13.0,13.0,0.0,,,13.0,17.0,15.0,10.0,0.0,16.0,12.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALO,9.0,15.0,13.0,10.0,17.0,8.0,9.0,8.0,14.0,7.0,9.0,12.0,9.0,10.0,6.0,5.0,19.0,12.0,12.0,3.0,13.0,11.0,8.0,7.0,10.0,9.0,11.0,20.0,7.0,10.0,2.0,7.0,19.0,7.0,6.0,3.0,13.0,6.0,5.0,7.0,14.0,9.0,17.0,10.0,5.0,2.0,4.0,6.0,2.0,2.0,8.0,2.0,7.0,9.0,8.0,9.0,5.0,10.0,7.0,10.0,4.0,19.0,13.0,4.0,9.0,7.0,6.0,4.0,10.0,5.0,3.0,15.0,20.0,14.0,6.0,10.0,15.0,10.0,7.0,8.0,7.0,11.0,7.0,7.0,7.0,13.0,9.0,16.0,8.0,8.0,12.0,13.0,12.0,13.0,13.0,17.0,5.0,6.0,10.0,6.0,11.0,7.0,20.0,5.0,10.0,8.0,11.0,10.0,10.0,14.0,,,,
VET,20.0,0.0,10.0,13.0,8.0,11.0,12.0,14.0,11.0,8.0,10.0,5.0,15.0,11.0,10.0,10.0,18.0,9.0,9.0,10.0,17.0,15.0,,,17.0,13.0,0.0,16.0,9.0,9.0,16.0,18.0,18.0,12.0,18.0,10.0,19.0,11.0,13.0,9.0,10.0,16.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCO,16.0,9.0,6.0,5.0,11.0,12.0,11.0,17.0,17.0,9.0,8.0,8.0,8.0,12.0,9.0,12.0,11.0,19.0,8.0,9.0,9.0,9.0,11.0,5.0,8.0,16.0,20.0,12.0,10.0,13.0,7.0,15.0,6.0,10.0,5.0,16.0,12.0,14.0,17.0,5.0,0.0,10.0,16.0,8.0,9.0,6.0,11.0,19.0,8.0,3.0,6.0,6.0,12.0,13.0,12.0,14.0,16.0,18.0,8.0,14.0,8.0,8.0,15.0,14.0,16.0,12.0,19.0,17.0,15.0,15.0,13.0,13.0,12.0,11.0,18.0,8.0,10.0,18.0,19.0,9.0,15.0,15.0,20.0,15.0,12.0,0.0,4.0,11.0,20.0,,19.0,11.0,18.0,14.0,19.0,9.0,18.0,8.0,16.0,14.0,17.0,14.0,11.0,17.0,18.0,15.0,20.0,17.0,17.0,11.0,,,,
TSU,13.0,20.0,14.0,16.0,16.0,7.0,0.0,11.0,7.0,16.0,16.0,16.0,14.0,0.0,12.0,9.0,10.0,17.0,15.0,8.0,8.0,8.0,16.0,19.0,13.0,12.0,9.0,13.0,11.0,8.0,20.0,13.0,16.0,8.0,16.0,0.0,9.0,20.0,10.0,13.0,19.0,13.0,0.0,11.0,14.0,16.0,12.0,8.0,17.0,9.0,15.0,19.0,16.0,16.0,17.0,11.0,17.0,11.0,15.0,9.0,11.0,11.0,18.0,16.0,20.0,6.0,11.0,9.0,8.0,10.0,19.0,10.0,7.0,8.0,8.0,17.0,14.0,13.0,10.0,20.0,11.0,16.0,11.0,8.0,10.0,11.0,3.0,7.0,14.0,11.0,5.0,9.0,14.0,10.0,8.0,10.0,20.0,12.0,19.0,18.0,18.0,11.0,7.0,20.0,12.0,9.0,6.0,13.0,13.0,10.0,,,,
RIC,6.0,6.0,16.0,7.0,12.0,13.0,10.0,13.0,13.0,6.0,11.0,4.0,10.0,2.0,5.0,20.0,6.0,7.0,11.0,14.0,11.0,10.0,18.0,14.0,7.0,6.0,14.0,9.0,14.0,12.0,9.0,14.0,11.0,9.0,9.0,7.0,17.0,4.0,16.0,11.0,15.0,11.0,11.0,13.0,,,,,,,,,,,13.0,19.0,,,,,,14.0,4.0,17.0,14.0,15.0,14.0,14.0,18.0,11.0,12.0,20.0,9.0,12.0,5.0,18.0,11.0,15.0,9.0,13.0,13.0,12.0,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAM,2.0,1.0,2.0,1.0,7.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,11.0,2.0,2.0,10.0,1.0,1.0,2.0,5.0,15.0,5.0,14.0,6.0,6.0,8.0,7.0,4.0,5.0,8.0,4.0,7.0,4.0,4.0,19.0,3.0,6.0,3.0,3.0,2.0,5.0,7.0,7.0,3.0,5.0,13.0,5.0,4.0,3.0,5.0,7.0,1.0,3.0,13.0,8.0,5.0,7.0,3.0,3.0,6.0,5.0,10.0,11.0,9.0,8.0,11.0,7.0,18.0,8.0,8.0,7.0,7.0,3.0,5.0,2.0,5.0,3.0,14.0,6.0,19.0,3.0,17.0,6.0,14.0,10.0,6.0,16.0,8.0,5.0,8.0,9.0,7.0,12.0,12.0,7.0,5.0,5.0,4.0,5.0,18.0,12.0,7.0,10.0,12.0,6.0,5.0,3.0,,,,
LAT,17.0,14.0,18.0,19.0,18.0,16.0,16.0,16.0,18.0,17.0,18.0,10.0,0.0,13.0,18.0,15.0,14.0,13.0,16.0,17.0,16.0,16.0,20.0,18.0,18.0,19.0,19.0,19.0,19.0,18.0,18.0,10.0,17.0,18.0,19.0,11.0,20.0,10.0,19.0,20.0,17.0,18.0,18.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STR,10.0,10.0,17.0,11.0,13.0,19.0,19.0,9.0,9.0,14.0,12.0,19.0,12.0,9.0,7.0,8.0,13.0,20.0,14.0,12.0,18.0,13.0,19.0,13.0,19.0,15.0,0.0,17.0,18.0,19.0,17.0,20.0,12.0,15.0,14.0,9.0,10.0,12.0,11.0,19.0,5.0,20.0,15.0,14.0,8.0,5.0,6.0,9.0,18.0,14.0,5.0,16.0,6.0,12.0,14.0,10.0,11.0,20.0,,17.0,16.0,20.0,0.0,3.0,19.0,13.0,12.0,10.0,9.0,16.0,11.0,11.0,13.0,13.0,9.0,14.0,17.0,8.0,8.0,15.0,8.0,17.0,13.0,17.0,13.0,14.0,10.0,18.0,15.0,13.0,13.0,14.0,20.0,19.0,16.0,18.0,8.0,19.0,,17.0,16.0,17.0,16.0,6.0,19.0,16.0,14.0,15.0,19.0,19.0,,,,
SAI,8.0,11.0,5.0,6.0,4.0,5.0,5.0,12.0,10.0,10.0,15.0,11.0,6.0,6.0,2.0,19.0,5.0,6.0,3.0,5.0,15.0,5.0,3.0,3.0,9.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,19.0,2.0,1.0,3.0,18.0,4.0,3.0,1.0,5.0,7.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,11.0,3.0,5.0,11.0,4.0,6.0,1.0,1.0,6.0,12.0,4.0,2.0,7.0,12.0,16.0,4.0,,2.0,4.0,7.0,3.0,4.0,3.0,12.0,6.0,4.0,7.0,4.0,7.0,10.0,5.0,3.0,10.0,3.0,1.0,20.0,2.0,7.0,3.0,10.0,15.0,15.0,8.0,6.0,6.0,6.0,11.0,17.0,16.0,19.0,9.0,17.0,13.0,9.0,13.0,2.0,18.0,9.0,12.0,,,,
LEC,4.0,4.0,8.0,4.0,1.0,1.0,7.0,7.0,12.0,4.0,7.0,9.0,5.0,5.0,19.0,3.0,4.0,8.0,6.0,13.0,4.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,19.0,3.0,2.0,1.0,3.0,15.0,2.0,1.0,1.0,2.0,12.0,7.0,5.0,3.0,3.0,12.0,7.0,1.0,7.0,6.0,19.0,10.0,2.0,4.0,6.0,1.0,9.0,3.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,8.0,6.0,2.0,3.0,1.0,11.0,5.0,6.0,11.0,6.0,1.0,6.0,4.0,1.0,9.0,4.0,4.0,6.0,4.0,5.0,19.0,7.0,6.0,4.0,2.0,4.0,8.0,11.0,2.0,7.0,8.0,2.0,6.0,3.0,1.0,6.0,4.0,10.0,7.0,3.0,2.0,,,,
GAS,5.0,5.0,9.0,12.0,6.0,4.0,6.0,6.0,6.0,11.0,5.0,6.0,4.0,0.0,11.0,4.0,8.0,5.0,7.0,2.0,6.0,12.0,10.0,9.0,11.0,17.0,7.0,14.0,17.0,6.0,15.0,11.0,14.0,14.0,0.0,0.0,11.0,5.0,7.0,17.0,11.0,14.0,10.0,17.0,20.0,9.0,9.0,17.0,5.0,7.0,10.0,15.0,9.0,10.0,15.0,12.0,12.0,17.0,12.0,12.0,7.0,7.0,11.0,15.0,4.0,10.0,20.0,18.0,17.0,17.0,15.0,12.0,15.0,10.0,15.0,7.0,13.0,19.0,20.0,12.0,9.0,14.0,18.0,18.0,6.0,8.0,13.0,3.0,11.0,5.0,9.0,16.0,11.0,4.0,9.0,20.0,10.0,17.0,8.0,20.0,10.0,8.0,13.0,16.0,14.0,20.0,18.0,19.0,14.0,18.0,,,,
RUS,15.0,12.0,11.0,15.0,15.0,15.0,14.0,10.0,8.0,12.0,17.0,2.0,11.0,14.0,3.0,13.0,20.0,16.0,17.0,15.0,14.0,17.0,9.0,6.0,6.0,11.0,12.0,4.0,6.0,5.0,8.0,8.0,4.0,6.0,1.0,5.0,6.0,2.0,0.0,8.0,4.0,2.0,1.0,6.0,6.0,3.0,2.0,11.0,6.0,8.0,12.0,4.0,11.0,6.0,18.0,8.0,3.0,4.0,2.0,8.0,2.0,5.0,8.0,8.0,3.0,4.0,3.0,7.0,7.0,9.0,8.0,7.0,6.0,5.0,1.0,4.0,3.0,1.0,17.0,6.0,4.0,3.0,5.0,4.0,20.0,5.0,2.0,1.0,1.0,6.0,4.0,2.0,5.0,3.0,3.0,5.0,3.0,14.0,4.0,1.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,,,,
MAZ,19.0,19.0,20.0,20.0,19.0,18.0,18.0,20.0,20.0,19.0,19.0,18.0,18.0,16.0,15.0,18.0,17.0,15.0,19.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUB,,,,,,,,,,,,,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAG,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,16.0,8.0,16.0,8.0,13.0,16.0,5.0,17.0,7.0,20.0,13.0,12.0,18.0,16.0,9.0,18.0,13.0,19.0,8.0,16.0,17.0,13.0,14.0,16.0,4.0,17.0,17.0,13.0,19.0,19.0,19.0,16.0,0.0,19.0,6.0,15.0,18.0,17.0,16.0,12.0,8.0,17.0,15.0,13.0,14.0,18.0,17.0,18.0,18.0,20.0,14.0,16.0,12.0,17.0,15.0,17.0,20.0,13.0,,14.0,8.0,7.0,,12.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
ZHO,,,,,,,,,,,,,,,,,,,,,,,15.0,12.0,14.0,0.0,17.0,15.0,20.0,14.0,10.0,9.0,13.0,16.0,12.0,18.0,14.0,9.0,14.0,14.0,18.0,12.0,13.0,15.0,13.0,11.0,17.0,15.0,14.0,19.0,13.0,20.0,17.0,17.0,5.0,17.0,15.0,16.0,19.0,19.0,19.0,12.0,10.0,20.0,17.0,19.0,17.0,20.0,19.0,20.0,16.0,19.0,17.0,18.0,20.0,15.0,20.0,14.0,18.0,19.0,17.0,20.0,17.0,20.0,18.0,19.0,19.0,13.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,14.0,16.0,20.0,18.0,18.0,18.0,16.0,17.0,12.0,16.0,15.0,13.0,17.0,6.0,15.0,,18.0,16.0,8.0,17.0,19.0,19.0,15.0,17.0,8.0,12.0,11.0,13.0,18.0,9.0,10.0,8.0,16.0,15.0,4.0,6.0,14.0,13.0,13.0,15.0,14.0,13.0,5.0,14.0,13.0,12.0,12.0,14.0,14.0,14.0,14.0,9.0,10.0,20.0,16.0,9.0,13.0,10.0,19.0,9.0,9.0,11.0,14.0,9.0,7.0,17.0,16.0,18.0,6.0,10.0,9.0,15.0,11.0,7.0,7.0,10.0,11.0,9.0,12.0,13.0,5.0,19.0,15.0,14.0,19.0,20.0,18.0,17.0,,,,
HUL,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,20.0,12.0,18.0,7.0,5.0,8.0,11.0,10.0,20.0,14.0,13.0,9.0,18.0,14.0,18.0,12.0,11.0,13.0,8.0,10.0,15.0,16.0,12.0,9.0,9.0,10.0,19.0,17.0,13.0,9.0,6.0,11.0,16.0,12.0,10.0,12.0,6.0,11.0,10.0,18.0,9.0,18.0,7.0,17.0,12.0,16.0,16.0,18.0,16.0,17.0,13.0,15.0,11.0,20.0,19.0,14.0,18.0,17.0,12.0,17.0,11.0,11.0,13.0,,,,
DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,19.0,18.0,15.0,18.0,15.0,12.0,14.0,17.0,20.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,20.0,18.0,14.0,20.0,16.0,20.0,18.0,18.0,14.0,20.0,18.0,10.0,15.0,18.0,20.0,15.0,16.0,19.0,19.0,6.0,20.0,18.0,19.0,,19.0,20.0,17.0,19.0,15.0,13.0,19.0,19.0,12.0,14.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8.0,16.0,10.0,19.0,11.0,9.0,8.0,13.0,3.0,4.0,5.0,8.0,7.0,17.0,2.0,6.0,10.0,7.0,10.0,18.0,3.0,8.0,5.0,5.0,6.0,5.0,6.0,5.0,2.0,4.0,9.0,7.0,5.0,2.0,5.0,3.0,2.0,2.0,5.0,5.0,17.0,8.0,8.0,4.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,9.0,3.0,6.0,7.0,,,,
LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,12.0,10.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,19.0,12.0,5.0,14.0,17.0,12.0,18.0,20.0,13.0,17.0,12.0,15.0,15.0,9.0,13.0,19.0,6.0,15.0,9.0,9.0,8.0,18.0,3.0,12.0,12.0,15.0,,,,
BEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,10.0,,,,15.0,,,,20.0,17.0,10.0,20.0,15.0,19.0,19.0,20.0,14.0,13.0,15.0,18.0,12.0,11.0,20.0,11.0,15.0,9.0,8.0,9.0,,,,
COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8.0,12.0,15.0,16.0,16.0,20.0,19.0,20.0,,,,,,,16.0,18.0,18.0,10.0,14.0,20.0,15.0,14.0,16.0,17.0,16.0,16.0,15.0,20.0,,,,
DOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,14.0,18.0,19.0,11.0,17.0,14.0,,,,,,,,,,,,,,,,,,
HAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,7.0,7.0,12.0,14.0,11.0,9.0,5.0,9.0,12.0,13.0,12.0,8.0,10.0,4.0,19.0,8.0,8.0,20.0,8.0,,,,
ANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,8.0,6.0,5.0,5.0,3.0,13.0,15.0,6.0,4.0,9.0,10.0,19.0,15.0,11.0,6.0,4.0,4.0,7.0,6.0,,,,
BOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,19.0,17.0,18.0,20.0,13.0,14.0,16.0,12.0,15.0,8.0,16.0,10.0,7.0,13.0,7.0,13.0,14.0,16.0,16.0,,,,
